iata_code,airport_name,city,country,latitude,longitude,timezone
EVV,Evansville Regional Airport,Evansville,United States,38.0369987488,-87.5324020386,-6
ABQ,Albuquerque International Sunport,Albuquerque,United States,35.040199,-106.609001,-7
BZN,Gallatin Field,Bozeman,United States,45.77750015,-111.1529999,-7
BIL,Billings Logan International Airport,Billings,United States,45.80770111083984,-108.54299926757812,-7
BTM,Bert Mooney Airport,Butte,United States,45.95479965209961,-112.49700164794922,-7
TVC,Cherry Capital Airport,Traverse City,United States,44.74140167236328,-85.58219909667969,-5
JAC,Jackson Hole Airport,Jacksn Hole,United States,43.6072998046875,-110.73799896240234,-7
RFD,Chicago Rockford International Airport,Rockford,United States,42.19540023803711,-89.09719848632812,-6
GSP,Greenville Spartanburg International Airport,Greenville,United States,34.8956985474,-82.2189025879,-5
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,United States,40.47710037,-88.91590118,-6
GPT,Gulfport Biloxi International Airport,Gulfport,United States,30.40730094909668,-89.07009887695312,-6
AZO,Kalamazoo Battle Creek International Airport,Kalamazoo,United States,42.234901428222656,-85.5521011352539,-5
TOL,Toledo Express Airport,Toledo,United States,41.58679962,-83.80780029,-5
FWA,Fort Wayne International Airport,Fort Wayne,United States,40.97850037,-85.19509888,-5
DEC,Decatur Airport,Decatur,United States,39.834598541259766,-88.8656997680664,-6
CID,The Eastern Iowa Airport,Cedar Rapids,United States,41.88470077514648,-91.71080017089844,-6
LSE,La Crosse Municipal Airport,La Crosse,United States,43.879002,-91.256699,-6
CWA,Central Wisconsin Airport,Wassau,United States,44.7775993347,-89.6668014526,-6
PIA,General Wayne A. Downing Peoria International Airport,Peoria,United States,40.664199829100006,-89.6932983398,-6
ATW,Appleton International Airport,Appleton,United States,44.2580986023,-88.5190963745,-6
RST,Rochester International Airport,Rochester,United States,43.90829849243164,-92.5,-6
CMI,University of Illinois Willard Airport,Champaign,United States,40.03919983,-88.27809906,-6
MHK,Manhattan Regional Airport,Manhattan,United States,39.14099884033203,-96.6707992553711,-6
GJT,Grand Junction Regional Airport,Grand Junction,United States,39.1223983765,-108.527000427,-7
SGU,St George Municipal Airport,Saint George,United States,37.036389,-113.510306,-7
SRQ,Sarasota Bradenton International Airport,Sarasota,United States,27.39539909362793,-82.55439758300781,-5
MLI,Quad City International Airport,Moline,United States,41.44850158691406,-90.50749969482422,-6
BIS,Bismarck Municipal Airport,Bismarck,United States,46.77270126342773,-100.74600219726562,-6
RAP,Rapid City Regional Airport,Rapid City,United States,44.0452995300293,-103.05699920654295,-7
CLD,Mc Clellan-Palomar Airport,Carlsbad,United States,33.12829971,-117.2799988,-8
FNT,Bishop International Airport,Flint,United States,42.96540069580078,-83.74359893798828,-5
RDD,Redding Municipal Airport,Redding,United States,40.50899887,-122.2929993,-8
EUG,Mahlon Sweet Field,Eugene,United States,44.12459945678711,-123.21199798583984,-8
IDA,Idaho Falls Regional Airport,Idaho Falls,United States,43.514599,-112.070999,-7
MFR,Rogue Valley International Medford Airport,Medford,United States,42.37419891357422,-122.8730010986328,-8
RDM,Roberts Field,Redmond-Bend,United States,44.2541008,-121.1500015,-8
CAK,Akron Canton Regional Airport,Akron,United States,40.91609954833984,-81.44219970703125,-5
HSV,Huntsville International Carl T Jones Field,Huntsville,United States,34.637199401855,-86.775100708008,-6
MGM,Montgomery Regional (Dannelly Field) Airport,MONTGOMERY,United States,32.30059814,-86.39399719,-6
TRI,Tri-Cities Regional TN/VA Airport,BRISTOL,United States,36.475201,-82.407401,-5
PAH,Barkley Regional Airport,PADUCAH,United States,37.06079864501953,-88.7738037109375,-6
FCA,Glacier Park International Airport,Kalispell,United States,48.31050109863281,-114.25599670410156,-7
MBS,MBS International Airport,Saginaw,United States,43.532901763916016,-84.07959747314453,-5
BGM,Greater Binghamton/Edwin A Link field,Binghamton,United States,42.20869827,-75.97979736,-5
PSG,Petersburg James A Johnson Airport,Petersburg,United States,56.80170059,-132.9450073,-9
SFB,Orlando Sanford International Airport,Sanford,United States,28.7775993347168,-81.23750305175781,-5
JST,John Murtha Johnstown Cambria County Airport,Johnstown,United States,40.31610107421875,-78.83390045166016,-5
MSO,Missoula International Airport,Missoula,United States,46.91630173,-114.0910034,-7
EGE,Eagle County Regional Airport,Vail,United States,39.64260101,-106.9179993,-7
CSG,Columbus Metropolitan Airport,Columbus,United States,32.516300201416016,-84.93890380859375,-5
